Start Date	10/01/2017
End Date	11/04/2017
Report Type	Apple Music
Currency	AUD
Storefront Name	Apple Identifier	Membership Type	Quantity	Net Royalty	Net Royalty Total	ISRC	Item_Title	Item_Artist	Item Type	Media Type	Vendor Identifier	Offline Indicator	Label/Studio/Network	Grid
AU	94557693	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650518042	Jumanji	African Vibes	1	1	DEZ650518042	0	Manifold Records	
AU	94558295	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650518047	Mysteria	Djibooti	1	1	DEZ650518047	0	Manifold Records	
AU	96217360	Indirect Individual Monthly EXTENDED TRIAL	19	.021330	.405270	ATK430203904	Manila (Headman Mix)	Seelenluft	1	1	ATK430203904	0	klein records	
AU	96219471	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	ATK430303401	Manila (Ewan Pearson Mix)	Seelenluft	1	1	ATK430303401	0	klein records	
AU	106838908	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DECN60500001	Prelude - Intro	Blackfish	1	1	DECN60500001	0	blackfish productions	
AU	106838967	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DECN60500002	Recreation	Blackfish	1	1	DECN60500002	0	blackfish productions	
AU	106839122	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DECN60500003	Bay of Islands	Blackfish	1	1	DECN60500003	0	blackfish productions	
AU	106839207	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DECN60500004	Unending	Blackfish	1	1	DECN60500004	0	blackfish productions	
AU	106839409	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DECN60500005	Night Train	Blackfish	1	1	DECN60500005	0	blackfish productions	
AU	106839571	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DECN60500006	Moment to Moment	Blackfish	1	1	DECN60500006	0	blackfish productions	
AU	106839681	Indirect Individual Monthly EXTENDED TRIAL	4	.021330	.085320	DECN60500007	Sea Traffic	Blackfish	1	1	DECN60500007	0	blackfish productions	
AU	106839681	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DECN60500007	Sea Traffic	Blackfish	1	1	DECN60500007	1	blackfish productions	
AU	106839852	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DECN60500008	Insight	Blackfish	1	1	DECN60500008	0	blackfish productions	
AU	106839980	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DECN60500009	Sonar	Blackfish	1	1	DECN60500009	0	blackfish productions	
AU	106840099	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DECN60500010	Empty	Blackfish	1	1	DECN60500010	0	blackfish productions	
AU	106840289	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DECN60500011	Pole Navigation	Blackfish	1	1	DECN60500011	0	blackfish productions	
AU	106840437	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DECN60500012	Unbreakable	Blackfish	1	1	DECN60500012	0	blackfish productions	
AU	120318056	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEX050500011	Je Pense À Toi	French Affair	1	1	DEX050500011	0	Score Music	
AU	120703358	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW250501236	Dub Unlimited	Bullwackie's All Stars	1	1	DEW250501236	0	Wackies	
AU	120703402	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW250501240	Dubbing Around	Bullwackie's All Stars	1	1	DEW250501240	0	Wackies	
AU	129054973	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650600941	Girlfriend (Featuring Sexy Sushi)	Näd Mika	1	1	DEZ650600941	0	Ideekomitee	
AU	129557216	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEF300000002	Beneath an Evening Sky	Oregon	1	1	DEF300000002	0	intuition	
AU	140110364	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	SEVMN0600701	Fuck Me	Black Magik	1	1	SEVMN0600701	0	Deeplay Soultec	
AU	140119867	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW250601242	Good Collie Weed	John Clarke	1	1	DEW250601242	0	Wackies	
AU	154557227	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DES870210612	Mein Papa bewacht die BVG	Terrorgruppe	1	1	DES870210612	0	Aggropop-Records	
AU	154557243	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DES870210618	Dicke Deutsche fahren mit dem Wochenendticket in die Hauptstadt	Terrorgruppe	1	1	DES870210618	0	Aggropop-Records	
AU	160254749	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0600957	The Charleston	Paul Whiteman	1	1	GBKYB0600957	0	Past Perfect	
AU	160254787	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0600546	Let's All Go to Mary's House	Savoy Orpheans	1	1	GBKYB0600546	0	Past Perfect	
AU	160254805	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0601175	Who?	Binnie Hale	1	1	GBKYB0601175	0	Past Perfect	
AU	160255168	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0601169	Where's That Rainbow?	Dorothy Dickson	1	1	GBKYB0601169	0	Past Perfect	
AU	160255250	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0600295	Good Little, Bad Little You	Cliff "Ukulele Ike" Edwards	1	1	GBKYB0600295	0	Past Perfect	
AU	160255259	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0600398	I Wanna Be Loved By You	Helen Kane	1	1	GBKYB0600398	0	Past Perfect	
AU	160526228	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW250600441	Free for All (Soundstream Remix)	Rhythm & Sound	1	1	DEW250600441	0	Burial Mix	
AU	161548193	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEDR80600018	Piece of Ganja	Elijah Prophet	1	1	DEDR80600018	1	Pow Pow Productions	
AU	161548193	Indirect Individual Monthly EXTENDED TRIAL	9	.021330	.191970	DEDR80600018	Piece of Ganja	Elijah Prophet	1	1	DEDR80600018	0	Pow Pow Productions	
AU	161548303	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650602364	Back for Good	Elijah Prophet	1	1	DEZ650602364	1	Pow Pow Productions	
AU	161548303	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650602364	Back for Good	Elijah Prophet	1	1	DEZ650602364	0	Pow Pow Productions	
