Format version	Start date	End date	Sender	Recipient	Disclaimer
2	2017-10-01	2017-10-31	Spotify	Finetunes	Confidential
Country	Label	Product	URI	UPC	EAN	ISRC	Track name	Artist name	Composer name	Album name	Quantity	USD Payable
DE	Diamond Records, Inc.	FAM6	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	1	0.003136791866194993705368191128
MX	Diamond Records, Inc.	MSSA	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	1	0.003437900143982408511811102884
DE	Diamond Records, Inc.	P	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	3	0.01787952884151726792296074524
BR	Diamond Records, Inc.	FAM6	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	1	0.002154102832369148235966464974
GB	Diamond Records, Inc.	PDS	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	2	0.006047229002933138390635252998
DK	Diamond Records, Inc.	P	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	1	0.008505172300518893155133421755
AU	Diamond Records, Inc.	A	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	2	0.003742064050514357968834023130
US	Diamond Records, Inc.	FAM6	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	21	0.06838986951546026368213256732
GB	Diamond Records, Inc.	FAM6	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	3	0.01382805756885177531514566653
CA	Diamond Records, Inc.	P	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	2	0.009397311763890990752336932454
