Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
11/05/2017	12/02/2017		GBKYB0600225	GBKYB0600225	1	0.99	0.99	AUD	S	167288349	Glenn Miller	Don't Sit Under the Apple Tree	Past Perfect		H		NZ			1.79	NZD
11/05/2017	12/02/2017		GBKYB0601217	GBKYB0601217	1	0.99	0.99	AUD	S	167289099	Vera Lynn	You'll Never Know	Past Perfect		H		AU			1.69	AUD
11/05/2017	12/02/2017		GBKYB0600562	GBKYB0600562	2	0.99	1.98	AUD	S	167290121	Marlene Dietrich	Lilli Marlene	Past Perfect		H		AU			1.69	AUD
11/05/2017	12/02/2017		GBKYB0600587	GBKYB0600587	1	0.99	0.99	AUD	S	167290546	Al Bowlly	Love Is the Sweetest Thing	Past Perfect		H		AU			1.69	AUD
11/05/2017	12/02/2017		GBKYB0600974	GBKYB0600974	1	0.99	0.99	AUD	S	187306121	Anton (Zither Solo)Karas	The Harry Lime Theme	Past Perfect		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEH330600409	DEH330600409	1	1.29	1.29	AUD	S	204026322	Merengue Fever	El Ombliguito	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEX050600040	DEX050600040	1	1.29	1.29	AUD	S	204409494	French Affair	Sexy	Score Music		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEF300600001	DEF300600001	1	1.29	1.29	AUD	S	204840471	Silke Eberhard Quartett	Die Rufnummer	intuition		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEF300600008	DEF300600008	1	1.29	1.29	AUD	S	204840776	Silke Eberhard Quartett	Mohnmarzipan	intuition		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEG188910264	DEG188910264	1	1.29	1.29	AUD	S	204959349	Poems for Laila	The Morning After	Metropol		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEY500600001	DEY500600001	1	1.29	1.29	AUD	S	208335825	Mark Chesnutt	Heard It In a Love Song	AGR Television Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEY500600002	DEY500600002	1	1.29	1.29	AUD	S	208335842	Mark Chesnutt	Dreaming My Dreams With You	AGR Television Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEY500600008	DEY500600008	1	1.29	1.29	AUD	S	208336128	Mark Chesnutt	Goodbye Comes Hard for Me	AGR Television Records		H		AU			2.19	AUD
11/05/2017	12/02/2017	4260019220233		4260019220233	1	10.99	10.99	AUD	S	210322937	Tracy Lawrence	For the Love	AGR Television Records		I		AU			18.99	AUD
11/05/2017	12/02/2017		DEY500600010	DEY500600010	12	1.29	15.48	AUD	S	210322940	Tracy Lawrence	Find Out Who Your Friends Are	AGR Television Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEY500600012	DEY500600012	3	1.29	3.87	AUD	S	210322959	Tracy Lawrence	You Can't Hide Redneck	AGR Television Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEY500600017	DEY500600017	1	1.29	1.29	AUD	S	210322984	Tracy Lawrence	Til I Was a Daddy Too	AGR Television Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEY500600020	DEY500600020	1	1.29	1.29	AUD	S	210322998	Tracy Lawrence with TimMcGraw & Kenny Chesney	Find Out Who Your Friends Are	AGR Television Records		H		AU			2.19	AUD
11/05/2017	12/02/2017	4250137233963		4250137233963	1	10.99	10.99	AUD	S	211268784	Boppin' B	The Look	NiWo Music		I		AU			18.99	AUD
11/05/2017	12/02/2017		DEU970600554	DEU970600554	3	1.29	3.87	AUD	S	211269323	Boppin' B	Nut Bush	NiWo Music		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEH330601121	DEH330601121	1	0.99	0.99	AUD	S	213142736	Brain 26	Question	Manifold Records		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEH330600284	DEH330600284	1	0.99	0.99	AUD	S	213142936	Brain 29	Demon of the Church	Manifold Records		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650700953	DEZ650700953	1	1.29	1.29	AUD	S	213142960	Brain 21	Something for Your Mind (Kaylab Remix)	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEH330600144	DEH330600144	1	0.99	0.99	AUD	S	213143028	Brain 30	Brain Train	Manifold Records		H		AU			1.69	AUD
11/05/2017	12/02/2017		ATK430708503	ATK430708503	1	1.29	1.29	AUD	S	213369001	Monta	There's a Hole In My Heart	klein records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEU330700131	DEU330700131	1	1.29	1.29	AUD	S	214854060	Fanfare Ciocărlia	Sandala (featuring Saban Bajramovic & Kal - Serbia)	Asphalt Tango Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEW250300413	DEW250300413	1	1.29	1.29	AUD	S	215524577	Rhythm & Sound	We Been Troddin' (With Shalom)	Burial Mix		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEW250300416	DEW250300416	1	1.29	1.29	AUD	S	215524590	Rhythm & Sound	Best Friend (With Love Joy)	Burial Mix		H		AU			2.19	AUD
11/05/2017	12/02/2017		GBGXG0500063	GBGXG0500063	1	1.29	1.29	AUD	S	219657918	Theo Parrish	Falling Up (Carl Craig Remix)	Third Ear Recordings		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEAZ40500613	DEAZ40500613	1	1.29	1.29	AUD	S	251693978	OUTWORLD	War Cry	ICS Festival Service GmbH		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEW930700002	DEW930700002	1	1.29	1.29	AUD	S	251843791	Nosliw	Musik	Rootdown Records		H		AU			2.19	AUD
