countryOfSale,label,product,uri,upc,ean,isrc,title,author,composer,album,quantity,revenueTotal
MX,"Diamond Records, Inc.",MSSA,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,1,0.003437900144
DE,"Diamond Records, Inc.",P,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,3,0.01787952884
BR,"Diamond Records, Inc.",FAM6,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,1,0.002154102832
GB,"Diamond Records, Inc.",PDS,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,2,0.006047229003
DK,"Diamond Records, Inc.",P,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,1,0.008505172301
AU,"Diamond Records, Inc.",A,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,2,0.003742064051
US,"Diamond Records, Inc.",FAM6,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,21,0.06838986952
GB,"Diamond Records, Inc.",FAM6,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,3,0.01382805757
CA,"Diamond Records, Inc.",P,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,2,0.009397311764
BE,"Diamond Records, Inc.",PDSNEI,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,6,0.04409310946
NL,"Diamond Records, Inc.",KHB,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,1,0.004725488147
ES,"Diamond Records, Inc.",FAM6,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,1,0.003123336694
CA,"Diamond Records, Inc.",A,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,1,0.001408081889
US,"Diamond Records, Inc.",A,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,5,0.009894193564
IT,"Diamond Records, Inc.",A,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,2,0.001042593057
NO,"Diamond Records, Inc.",TSA,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,1,0.006564037682
US,"Diamond Records, Inc.",PDS,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,9,0.02255723331
AU,"Diamond Records, Inc.",P,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,5,0.02713574447
ES,"Diamond Records, Inc.",A,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,1,0.0003062415596
GB,"Diamond Records, Inc.",P,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,7,0.05505656274
CA,"Diamond Records, Inc.",ROG-MWA,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,2,0.009136702366
PL,"Diamond Records, Inc.",P,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,1,0.002987383848
US,"Diamond Records, Inc.",P,spotify:track:000QXahPr9eVWAtCocMcru,825049510897,,USESK1601516,Cow Cow Boogie,Ella Mae Morse,Gene DePaul Berry Carter Don Raye,Ella Mae Morse at Her Best,22,0.1305830129
IE,BT-Music,P,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),1,0.008019019755
NZ,BT-Music,TCOM2SA,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),1,0.008010056124
FR,BT-Music,A,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),2,0.00125776384
DE,BT-Music,P,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),50,0.2979921474
DE,BT-Music,PDS,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),1,0.002733146697
CH,BT-Music,P,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),2,0.0167432798
DE,BT-Music,FAM6,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),65,0.2038914713
CH,BT-Music,FAM6,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),2,0.008521238225
DE,BT-Music,DTSA,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),7,0.04654734628
SE,BT-Music,P,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),2,0.01372049149
IT,BT-Music,P,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),1,0.007278894145
DE,BT-Music,A,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),13,0.01625400352
DE,BT-Music,DHB,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),2,0.01709348852
DE,BT-Music,PDIB,spotify:track:000b1r9O22PIRQM1Jn6M6Z,4051569212829,,DEE701303192,Perfunieren,"Rolf Herricht, Hans-Joachim Preil",--,Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972),9,0.04372291755
PL,Blue Pearls Music,A,spotify:track:0011yBpUQQeh5JuOD3tEpu,,4047179038027,DEDK10901005,Hand Up,Muriel Zoe,N/A,Flood,1,0.0005879040553
FR,Blue Pearls Music,P,spotify:track:0011yBpUQQeh5JuOD3tEpu,,4047179038027,DEDK10901005,Hand Up,Muriel Zoe,N/A,Flood,7,0.04354007066
ES,Blue Pearls Music,P,spotify:track:0011yBpUQQeh5JuOD3tEpu,,4047179038027,DEDK10901005,Hand Up,Muriel Zoe,N/A,Flood,3,0.01927545062
DE,Blue Pearls Music,P,spotify:track:0011yBpUQQeh5JuOD3tEpu,,4047179038027,DEDK10901005,Hand Up,Muriel Zoe,N/A,Flood,4,0.02383937179
DE,Blue Pearls Music,FAM6,spotify:track:0011yBpUQQeh5JuOD3tEpu,,4047179038027,DEDK10901005,Hand Up,Muriel Zoe,N/A,Flood,1,0.003136791866
NL,Blue Pearls Music,FAM6,spotify:track:0011yBpUQQeh5JuOD3tEpu,,4047179038027,DEDK10901005,Hand Up,Muriel Zoe,N/A,Flood,2,0.006437975372
SE,Blue Pearls Music,FAM6,spotify:track:0011yBpUQQeh5JuOD3tEpu,,4047179038027,DEDK10901005,Hand Up,Muriel Zoe,N/A,Flood,2,0.008399368232
