countryOfSale,label,product,uri,upc,ean,isrc,title,author,composer,album,quantity,revenueTotal
GB,Ilian Tape,PDLE,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,11,0.0406853364
SK,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,22,0.037504435
IT,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,89,0.04639539103
IE,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,24,0.01565130064
FI,Ilian Tape,TSA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,12,0.1031638081
TW,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,18,0.05341702871
ES,Ilian Tape,TFSA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,12,0.07935861908
US,Ilian Tape,PDLS12,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,8,0.04322973615
ID,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,3,0.003023804464
US,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,164,0.4110429181
IT,Ilian Tape,VFSA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.0085406299
CA,Ilian Tape,ROG-SWA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,20,0.09027158602
CZ,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,44,0.08333021117
CR,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.003996904736
CZ,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,6,0.004745951284
IE,Ilian Tape,VFHB-V2,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,15,0.1433931676
LV,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,7,0.01184717456
US,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,214,0.4234714845
SG,Ilian Tape,PDIB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.004060679406
FR,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,11,0.02727018801
DE,Ilian Tape,DT,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.02315577295
CA,Ilian Tape,FIDO-SA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.005152689571
AT,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,5,0.03376265096
BG,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.0007376317018
GB,Ilian Tape,PDLS12,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.006209007739
PH,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,9,0.006325339144
DK,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.002194604896
PL,Ilian Tape,PDIB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.007352669708
AU,Ilian Tape,PDSNEI,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.02742432626
BG,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,14,0.02416214302
FI,Ilian Tape,SYBSMB349,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.004558311132
PT,Ilian Tape,VFSAWY,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.01962190641
SK,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,10,0.00997067537
SE,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,27,0.02643277554
CL,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.0005007171931
EE,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,25,0.05834143294
GR,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.004177411697
CH,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,14,0.04356983062
NZ,Ilian Tape,TCOMHB1,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.005720765697
PL,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,41,0.02410406627
PY,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.004248640713
PL,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,16,0.02031597681
DE,Ilian Tape,U,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.01760842686
PT,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,5,0.0225132679
AR,Ilian Tape,PERSONAL-SA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.005842945313
CH,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,36,0.3013790364
JP,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,23,0.004798008102
AT,Ilian Tape,DRATSA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.0251779242
CA,Ilian Tape,ROGERS-SA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.01142262854
FI,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,12,0.008521050556
IS,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,37,0.3020702915
LU,Ilian Tape,POST-SA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.01054606101
SE,Ilian Tape,U,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.004814312486
NL,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,3,0.007274569954
AU,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,45,0.09822059205
IE,Ilian Tape,VFSA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.02271570472
FR,Ilian Tape,U,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,15,0.06064594402
LV,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,14,0.05319740817
IS,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,7,0.03434306507
TW,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.001321601677
FI,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,57,0.2764954666
SE,Ilian Tape,PDLS12,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,5,0.0243338781
FI,Ilian Tape,U,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,3,0.01463816853
NO,Ilian Tape,SYBSMB349,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,3,0.01154577203
NZ,Ilian Tape,TCOM2SB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,9,0.06474021714
PL,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,141,0.2121326835
SE,Ilian Tape,PDSNEI,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.007817002041
GB,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,778,3.586076263
HU,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.00417999177
CA,Ilian Tape,ROGERS-ET,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,3,0.01218681581
CA,Ilian Tape,PDSNEI,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.004716922016
FR,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,133,0.457934137
HK,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,15,0.0370594235
BR,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.006939855365
ID,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,3,0.000201626173
CA,Ilian Tape,FIDO-SB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,29,0.1913417681
GB,Ilian Tape,VFHB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,105,0.8482111974
LT,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,8,0.0006210403013
LV,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,11,0.000402935421
TR,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.000823775709
SE,Ilian Tape,TSBRN,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.01684364125
NL,Ilian Tape,KPB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,31,0.2320504671
US,Ilian Tape,PDSE,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.01330732584
CH,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,36,0.153382288
NO,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,3,0.001355836581
AU,Ilian Tape,PDIB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,8,0.0386862095
EE,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,54,0.2531046543
MX,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,19,0.008888661053
NL,Ilian Tape,KHB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,66,0.3118822177
PT,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,21,0.005356249427
PL,Ilian Tape,U,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.001339725671
US,Ilian Tape,PDSNEI,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.01299915431
CY,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,5,0.02298427089
HU,Ilian Tape,DTHUHB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.005047915139
HK,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,6,0.002484895917
ID,Ilian Tape,PDLS6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.001832209537
IS,Ilian Tape,SSA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.03859652779
PT,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.004042426608
SE,Ilian Tape,SYBSMB349,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,8,0.03091945262
DK,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,38,0.1749351099
HK,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,5,0.02426523347
TR,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,17,0.0183745243
DK,Ilian Tape,TDK2SA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.02011875042
LV,Ilian Tape,TLVSA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,3,0.01313420485
CA,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,10,0.0178674253
NZ,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,8,0.02566917452
PH,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,43,0.09252368042
ES,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,11,0.02954362341
HN,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.000004728602418
